,ADDITIONAL DESCRIPTION
1178,"1. (Individual) 
- (Salaried)
- in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘D’, ‘E’ and ‘F’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘D’, ‘E’ and ‘F’

3. (Company) 
- having its registered office or principal place of business in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘D’, ‘E’ and ‘F’"
1179,"1. (Individual) 
- (Salaried)
- in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘A’ to ‘J’ 

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘A’ to ‘J’ 

3. (Company) 
- having its registered office or principal place of business in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘A’ to ‘J’ "
1183,"1. (Individual) 
- (Salaried)
- in the area of District of Meerut and Baghpat
- name begin with the alphabet ‘A’ to ‘M’ for District of Meerut and ‘A’ to ‘Z for district of Baghpat 

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Meerut and Baghpat
- name begin with the alphabet ‘A’ to ‘M’ for District of Meerut and ‘A’ to ‘Z for district of Baghpat 

3. (Company) 
- having its registered office or principal place of business in the area of District of Meerut and Baghpat
- name begin with the alphabet ‘A’ to ‘M’ for District of Meerut and ‘A’ to ‘Z for district of Baghpat "
1184,"1. (Individual) 
- (Salaried)
- in the area of District Ghaziabad.
- name begin with the alphabet ‘A’ to ‘M’ for District of Ghaziabad (Excluding tehsil Modinagar) and ‘A’ to ‘Z for district of Modinagar 

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District Ghaziabad
- name begin with the alphabet ‘A’ to ‘M’ for District of Ghaziabad (Excluding tehsil Modinagar) and ‘A’ to ‘Z for district of Modinagar  

3. (Company) 
- having its registered office or principal place of business in the area of District Ghaziabad
- name begin with the alphabet ‘A’ to ‘M’ for District of Ghaziabad (Excluding tehsil Modinagar) and ‘A’ to ‘Z for district of Modinagar"
1185,"1. (Individual) 
- (Salaried)
- in the area of District of Baghpat

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Baghpat

3. (Company) 
- having its registered office or principal place of business in the area of District of Baghpat"
1191,EXEMPTION CASES REALTE TO DEHRADUN AND HALDWANI CHARGE
1192,EXEMPTION CASES RELATE TO GHAZIABAD REGION
1193,EXEMPTION CASES RELATE TO INCOME  ABOVE 10  CR.
1196,"1. (Individual) 
- (Salaried)
- in the area of District of Meerut
- name begin with the alphabet ‘A’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Meerut
- name begin with the alphabet ‘A’

3. (Company) 
- having its registered office or principal place of business in the area of District of Meerut
- name begin with the alphabet ‘A’"
1197,"1. (Individual) 
- (Salaried)
- in the area of District of Meerut
- name begin with the alphabet ‘H’ to ‘K’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Meerut
- name begin with the alphabet ‘H’ to ‘K’

3. (Company) 
- having its registered office or principal place of business in the area of District of Meerut
- name begin with the alphabet ‘H’ to ‘K’"
1198,"1. (Individual) 
- (Salaried)
- in the area of District of Ghaziabad (excluding Tehsil Modinagar)
- First name begin with the alphabet ‘A’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Ghaziabad (excluding Tehsil Modinagar)
- First name begin with the alphabet ‘A’ 

3. (Company) 
- having its registered office or principal place of business in the area of District of Ghaziabad (excluding Tehsil Modinagar)
- First name begin with the alphabet ‘A’ "
1205,"F  to J 
a) upto Rs. 15 lakhs b) upto Rs.20 lakhs c) (As above)"
1206,Q to Z ( As above)
1207,A to G
1208,O to Z 
1209,A to G (As above ) ( Income or loss of less than Rs.15 lakhs in Non-Corporate cases or Rs. 20 lakhs in Corporate cases
1210,N to Z (As above)
1214,"O to Z  
a) upto Rs. 15 lakhs b) upto Rs. 20 lakhs c) (As above)"
1215,ALL SALARY CASES OF EMPLOYEES OR PENSIONERS OF CENTRAL GOVT. (Ngpure Rural)
1216,ALL SALARY EMPLOYEES OF CENTRAL GOVT. UNDERTAKINGS (Nagpur Rural)
1217,L to Z
1218,"G to L 
a) upto Rs. 15 lakhs b) upto Rs. 20 lakhs c) (As above)"
1219,"a) Persons other than cos. deriving income other than business & profession (Rs. 15 lakhs & above)
b) Company cases Rs. 20 lakhs & above 
c) All Cases of Individuals being Managing Director or Director or Manager or Secretary in the companies. (Nagpur City)"
1221,ALL CASES
1222,A to C 
1223,"a) Persons other than cos. deriving income other than business & profession (Rs. 15 lakhs & above)
b) Company cases Rs. 20 lakhs & above 
c) All Cases of Individuals being Managing Director or Director or Manager or Secretary in the companies. (Nagpur City)"
1224,"A to E
a) upto Rs. 15 lakhs b) upto Rs.20 lakhs c) (As above)"
1225,"K to P 
a) upto Rs. 15 lakhs b) upto Rs.20 lakhs c) (As above)"
1226,H to N
1227,A to K
1228,A to F NON- CORPORATE cases (below Rs 15 lakhs or loss ) & T to V CORPORATE cases (below Rs. 20 lakhs or loss)
1229,ALL NEW ASSESSEES a) upto Rs. 15 lakhs b) upto Rs.20 lakhs (As above) - Non Corporate
1230,"Non- Corporate cases Rs.15 lakhs & above, Rs. 20 lakhs & above in Corporate cases. 
a) Persons other than cos. deriving income other than business & profession 
b) Business cases 
c) All cases of Individual being Managing Director or Director or Manager or Secretary in the companies. (Nagpur City)"
1231,ALL CASES
1232,K to N
1233,T  to Z
1234,L to Z
1237,"A to F, M & N 
a) upto Rs. 15 lakhs b) upto Rs. 20 lakhs c) (As above)"
1238,"1) All cases of of Central Govt., Central Govt. Undertakings whose income is Rs.15 lakhs & above 
2) All business cases except co. Rs. 20 lakhs & above in Rural Nagpur."
1239,"ALL CASES OTHER THAN SALARY ALPHABETS A to K ( Nagpur Rural) 
a) Persons other than cos. whose income other than income from business or profession, 
b) Persons other than cos. deriving income frome business & profession 
c) Companies 
d) Individuals being managing directors or directors or manager or secretary in the companies."
1240,A to K
1248,"1. Co-operative Societies, association of persons, body of individuals, local authorities and artificial jurisdical persons
- residing within the territorial area of District of Nashik other than the areas falling within the Talukas of Malegaon, Satana, Nandgaon, Chandwad and Yeola.
- Name starting with alphabets “A” or “B” or “C” or “D” or “E” or “F” or “G” or
“H” or “I” or “J” or “K” or “L” or “M” “N” or “O” or “P” or “Q” or “R” or “S” or “T” or “U” or “V” or “W” or “X” or “Y” or “Z”

2. Non Company
- income from business or profession
- having principal place of business or profession within the territorial area of  District of Nashik other than the areas falling within the Talukas of Malegaon, Satana, Nandgaon, Chandwad and Yeola. 
- Surname starting with alphabets “A” or “B” or “C” or “D” or “E” or “F” or “G” or “H” or “I” or “J” or “K” or “L” or “M” or “W” or “X” or “Y” or “Z”

3. Company (including its MD or director or manager or secretary)
- having its registered office or having its principal place of business is within the territorial area of  District of Nashik other than the areas falling within the Talukas of Malegaon, Satana, Nandgaon, Chandwad and Yeola.
- Name starting with alphabets “A” or “B” or “C” or “D” or “E” or “F” or “G” or “H” or “I” or “J” or “K” or “L” or “M” or “T” or “U” or “V” or “W” or “X” or “Y” or “Z”"
1249,"1. Non Company
- income from sources other than income from business or profession
- residing within the territorial area of All Talukas excluding Aurangabad Taluka of Aurangabad District

2. Non Company
- income from business or profession
- having principal place of business or profession within the territorial area of All Talukas excluding Aurangabad Taluka of Aurangabad District  

3. Company (including its MD or director or manager or secretary)
- having its registered office or having its principal place of business is within the territorial area of District of Aurangabad
- names begin with  the alphabet ‘A’ or ‘B’ or ‘C’ or ‘D’ or ‘E’ or ‘F’ or ‘G’ or ‘H’ or ‘I’ or ‘J’ or ‘K’ or ‘L’ or ‘M’ or ‘N’ or ‘O’ or ‘P’ or ‘Q’ or ‘R’

4.(Salaried)
- Residing within the territorial area of District of Aurangabad
- employees of Central  Government, State Government and Private Sector Companies"
1250,"1. Co-operative Societies, association of persons, body of individuals, local authorities and artificial jurisdical persons
- residing within the territorial area of District of Nashik other than the areas falling within the Talukas of Malegaon, Satana, Nandgaon, Chandwad and Yeola.
- Name starting with alphabets “A” or “B” or “C” or “E” or “F” or “G” or “H” or “I” or “J”

2. Non Company
- income from business or profession
- having principal place of business or profession within the territorial area of  District of Nashik other than the areas falling within the Talukas of Malegaon, Satana, Nandgaon, Chandwad and Yeola. 
- Surname starting with alphabets “A” or “B” or “E”

3. Company (including its MD or director or manager or secretary)
- having its registered office or having its principal place of business is within the territorial area of  District of Nashik other than the areas falling within the Talukas of Malegaon, Satana, Nandgaon, Chandwad and Yeola.
- Name starting with alphabets “A” or “B” or “E”"
1251,"Other than company, Co-operative Society & Trust
- income from business or profession
- having principal place of business or profession within the territorial area of   Jillha Peth of Jalgaon City (i.e. Ganesh Colony Ring road and Akashwani Chowk). "
1252,"1. Co-operative Society 
- registered under the Co-operative Societies Act and having registered office in the area of Jalgaon District

2.(Salaried)
- residing within the territorial area of Jalgaon District
- names begin with the  alphabet ‘A’, ‘B’, ‘C’, ‘D’, ‘E’ & ‘F’."
1253,"1. Non Company
- income from business or profession
- having principal place of business or profession within the territorial area of   Jalgaon City excluding Polan Peth, Baliram Peth, Phule Market and Dana Bazar of Jalgaon city

2. Company (including its MD or director or manager or secretary)
- having its registered office or having its principal place of business is within the territorial area of Jalgaon City excluding Polan Peth, Baliram Peth, Phule
Market and Dana Bazar of Jalgaon city

3.(Salaried)
- residing within the territorial area of District of Jalgaon District & Jalgaon City excluding Polan Peth, Baliram Peth, Phule Market and Dana Bazar of Jalgaon city
- names begin with alphabets A, B,C, D, E, F, G, H, I, J, K, L & M

4. Co-operative Society 
- registered under the Co-operative Societies Act and having registered office in the area of Jalgaon District"
1261,"
1. Company (including its MD or director or manager or secretary)
- having its registered office or having its principal place of business is within the territorial area of District of Aurangabad
- names begin with  the alphabet “A” o “B” or “C” or “D” or “E” or ”F” or ”G ”or “H” or “I” 

2.(Salaried)
- Residing within the territorial area of District of Aurangabad
- employees of private sector companies."
1262,"1. Other than company, Co-operative Society & Trust
- income from business or profession
- having principal place of business or profession within the territorial area of   Jalgaon City excluding Polan Peth,Baliram Peth, Fule market, Dana Bazar.

2. Company (including its MD or director or manager or secretary)
- having its registered office or having its principal place of business is within the territorial area of Jalgaon City excluding Polan Peth,Baliram Peth, Fule market, Dana Bazar
- Return of income / loss is below Rs.10 lakhs"
